url,status,note,pageCount,pages
https://quietmindsleep.co.uk/404.html,200,,1,/404.html
https://quietmindsleep.co.uk/about/,200,,1,/about/
https://quietmindsleep.co.uk/affiliate-disclosure/,200,,1,/affiliate-disclosure/
https://quietmindsleep.co.uk/contact/,200,,1,/contact/
https://quietmindsleep.co.uk/cookie-policy/,200,,1,/cookie-policy/
https://quietmindsleep.co.uk/corrections/,200,,1,/corrections/
https://quietmindsleep.co.uk/editorial-policy/,200,,1,/editorial-policy/
https://quietmindsleep.co.uk/falling-asleep/bedtime-routine-for-adults/,200,,1,/falling-asleep/bedtime-routine-for-adults/
https://www.amazon.co.uk/dp/B0C7GPGR19/?tag=kleantouch-21,200,,8,/falling-asleep/bedtime-routine-for-adults/; /falling-asleep/cant-sleep-before-a-big-day/; /sleep-habits/how-to-fix-your-sleep-schedule/; /sleep-habits/napping-and-night-sleep/; /sleep-habits/sleep-hygiene/
https://www.amazon.co.uk/dp/B0CW99YJHZ/?tag=kleantouch-21,200,,4,/falling-asleep/bedtime-routine-for-adults/; /quiet-the-mind/how-to-calm-your-mind-before-bed/; /relaxation/bedtime-relaxation-techniques/; /sleep-products/weighted-blankets-guide/
https://www.nhs.uk/every-mind-matters/mental-wellbeing-tips/how-to-fall-asleep-faster-and-sleep-better/,200,,43,/falling-asleep/bedtime-routine-for-adults/; /falling-asleep/cant-sleep-before-a-big-day/; /falling-asleep/how-to-fall-asleep-faster/; /falling-asleep/how-to-sleep-when-not-tired/; /falling-asleep/military-sleep-method/
https://www.sleepfoundation.org/sleep-hygiene,200,,10,/falling-asleep/bedtime-routine-for-adults/; /falling-asleep/cant-sleep-before-a-big-day/; /falling-asleep/how-to-fall-asleep-faster/; /falling-asleep/how-to-sleep-when-not-tired/; /falling-asleep/military-sleep-method/
https://thesleepcharity.org.uk/,200,,11,/falling-asleep/bedtime-routine-for-adults/; /sleep-environment/bedding-and-sleep/; /sleep-environment/bedroom-setup-for-better-sleep/; /sleep-environment/best-temperature-for-sleep/; /sleep-environment/earplugs-vs-white-noise/
https://quietmindsleep.co.uk/falling-asleep/cant-sleep-before-a-big-day/,200,,1,/falling-asleep/cant-sleep-before-a-big-day/
https://www.mentalhealth.org.uk/,200,,3,/falling-asleep/cant-sleep-before-a-big-day/; /quiet-the-mind/how-to-calm-your-mind-before-bed/; /sleep-questions/why-cant-i-sleep/
https://quietmindsleep.co.uk/falling-asleep/difficulty-falling-asleep/,200,,1,/falling-asleep/difficulty-falling-asleep/
https://www.nhs.uk/conditions/insomnia/,200,,39,/falling-asleep/difficulty-falling-asleep/; /falling-asleep/how-long-should-it-take-to-fall-asleep/; /falling-asleep/how-to-fall-asleep-faster/; /falling-asleep/what-to-do-when-you-cant-sleep/; /quiet-the-mind/cognitive-shuffling/
https://cks.nice.org.uk/topics/insomnia/,403,blocked for automated clients; verify manually (usually fine),12,/falling-asleep/difficulty-falling-asleep/; /falling-asleep/how-to-fall-asleep-faster/; /falling-asleep/what-to-do-when-you-cant-sleep/; /quiet-the-mind/racing-thoughts-at-night/; /quiet-the-mind/sleep-anxiety/
https://www.mind.org.uk/information-support/types-of-mental-health-problems/sleep-problems/,403,blocked for automated clients; verify manually (usually fine),7,/falling-asleep/difficulty-falling-asleep/; /quiet-the-mind/cognitive-shuffling/; /quiet-the-mind/how-to-stop-overthinking-at-night/; /quiet-the-mind/racing-thoughts-at-night/; /quiet-the-mind/sleep-anxiety/
