id,product,brandExample,category,provider,linkType,asin,amazonUrl,affiliateTag,pagesUsedOn,pageCount,lastChecked,status
contoured-sleep-mask,Contoured (3D) sleep mask,Manta Sleep Mask,sleep-mask,amazon-uk,asin,B07PRG2CQY,https://www.amazon.co.uk/dp/B07PRG2CQY/?tag=kleantouch-21,kleantouch-21,/falling-asleep/how-to-fall-asleep-faster/; /sleep-environment/bedroom-setup-for-better-sleep/; /sleep-environment/how-to-make-bedroom-darker/; /sleep-environment/sleep-mask-vs-blackout-curtains/; /sleep-habits/how-to-fix-your-sleep-schedule/; /sleep-habits/napping-and-night-sleep/; /sleep-habits/sleep-hygiene/; /sleep-products/best-sleep-masks-uk/; /sleep-questions/does-a-sleep-mask-help-you-sleep/; /sleep-questions/is-it-bad-to-sleep-with-the-light-on/; /waking-at-night/waking-up-at-3am/; /waking-at-night/waking-up-too-early/,12,2026-09-25,active
silk-sleep-mask,Silk sleep mask,Mulberry silk eye masks (various brands),sleep-mask,amazon-uk,asin,B0C7GPGR19,https://www.amazon.co.uk/dp/B0C7GPGR19/?tag=kleantouch-21,kleantouch-21,/falling-asleep/bedtime-routine-for-adults/; /falling-asleep/cant-sleep-before-a-big-day/; /sleep-habits/how-to-fix-your-sleep-schedule/; /sleep-habits/napping-and-night-sleep/; /sleep-habits/sleep-hygiene/; /sleep-products/best-sleep-masks-uk/; /sleep-questions/does-a-sleep-mask-help-you-sleep/; /waking-at-night/light-sleeper/,8,2026-09-25,active
weighted-sleep-mask,Weighted sleep mask,Gravity weighted sleep mask (and similar),sleep-mask,amazon-uk,asin,B09DXXWVL4,https://www.amazon.co.uk/dp/B09DXXWVL4/?tag=kleantouch-21,kleantouch-21,/sleep-products/best-sleep-masks-uk/,1,2026-09-25,active
soft-foam-earplugs,Soft foam earplugs,Mack's Ultra Soft Foam Earplugs,earplugs,amazon-uk,asin,B0B785VC19,https://www.amazon.co.uk/dp/B0B785VC19/?tag=kleantouch-21,kleantouch-21,/sleep-environment/earplugs-vs-white-noise/; /sleep-environment/how-to-block-out-noise-at-night/; /sleep-environment/how-to-sleep-with-a-snoring-partner/; /sleep-products/best-earplugs-for-sleeping-uk/; /sleep-products/types-of-earplugs-for-sleep/; /sleep-questions/is-it-ok-to-sleep-with-earplugs-every-night/; /waking-at-night/waking-up-at-3am/; /waking-at-night/waking-up-in-the-middle-of-the-night/,8,2026-09-25,active
reusable-silicone-earplugs,Reusable silicone earplugs for sleep,Loop Quiet,earplugs,amazon-uk,asin,B0D3V6TR98,https://www.amazon.co.uk/dp/B0D3V6TR98/?tag=kleantouch-21,kleantouch-21,/sleep-environment/earplugs-vs-white-noise/; /sleep-products/best-earplugs-for-sleeping-uk/; /sleep-products/types-of-earplugs-for-sleep/; /sleep-questions/is-it-ok-to-sleep-with-earplugs-every-night/; /waking-at-night/light-sleeper/,5,2026-09-25,active
mouldable-wax-earplugs,Mouldable wax or silicone putty earplugs,Quies natural wax earplugs; Mack's Pillow Soft silicone,earplugs,amazon-uk,asin,B01LHL84ZI,https://www.amazon.co.uk/dp/B01LHL84ZI/?tag=kleantouch-21,kleantouch-21,/sleep-products/best-earplugs-for-sleeping-uk/; /sleep-products/types-of-earplugs-for-sleep/; /sleep-questions/is-it-ok-to-sleep-with-earplugs-every-night/,3,2026-09-25,active
fan-based-white-noise-machine,Fan-based white noise machine,Marpac / Yogasleep Dohm,white-noise,amazon-uk,asin,B07RJTW7DB,https://www.amazon.co.uk/dp/B07RJTW7DB/?tag=kleantouch-21,kleantouch-21,/falling-asleep/how-to-fall-asleep-faster/; /quiet-the-mind/cant-switch-off-at-night/; /sleep-environment/earplugs-vs-white-noise/; /sleep-environment/how-to-block-out-noise-at-night/; /sleep-environment/how-to-sleep-with-a-snoring-partner/; /sleep-products/best-white-noise-machines-uk/; /sleep-products/how-to-choose-a-white-noise-machine/; /sleep-sounds/brown-noise-vs-white-noise/; /sleep-sounds/is-it-bad-to-sleep-with-white-noise-on/; /sleep-sounds/pink-noise-vs-white-noise/; /sleep-sounds/white-noise-for-sleep/; /waking-at-night/waking-up-in-the-middle-of-the-night/,12,2026-09-25,active
digital-sound-machine,Digital sound machine with multiple noise colours,LectroFan (Classic or Evo),white-noise,amazon-uk,asin,B019GAFJEG,https://www.amazon.co.uk/dp/B019GAFJEG/?tag=kleantouch-21,kleantouch-21,/quiet-the-mind/racing-thoughts-at-night/; /sleep-products/best-white-noise-machines-uk/; /sleep-products/how-to-choose-a-white-noise-machine/; /sleep-sounds/brown-noise-for-sleep/; /sleep-sounds/brown-noise-vs-white-noise/; /sleep-sounds/is-it-bad-to-sleep-with-white-noise-on/; /sleep-sounds/nature-sounds-for-sleep/; /sleep-sounds/ocean-sounds-for-sleep/; /sleep-sounds/pink-noise-for-sleep/; /sleep-sounds/pink-noise-vs-white-noise/; /sleep-sounds/white-noise-for-sleep/; /waking-at-night/light-sleeper/,12,2026-09-25,active
portable-sound-machine,Portable rechargeable sound machine,Yogasleep Rohm or similar,white-noise,amazon-uk,asin,B01D50RZQI,https://www.amazon.co.uk/dp/B01D50RZQI/?tag=kleantouch-21,kleantouch-21,/sleep-products/best-white-noise-machines-uk/; /sleep-products/how-to-choose-a-white-noise-machine/; /sleep-sounds/ocean-sounds-for-sleep/; /sleep-sounds/rain-sounds-for-sleep/; /sleep-sounds/white-noise-for-sleep/,5,2026-09-25,active
headband-sleep-headphones,Headband sleep headphones,SleepPhones; CozyPhones; Musicozy,sleep-headphones,amazon-uk,asin,B0CLGTSMCF,https://www.amazon.co.uk/dp/B0CLGTSMCF/?tag=kleantouch-21,kleantouch-21,/falling-asleep/things-to-do-before-bed/; /falling-asleep/what-to-do-when-you-cant-sleep/; /quiet-the-mind/how-to-calm-your-mind-before-bed/; /quiet-the-mind/how-to-stop-overthinking-at-night/; /quiet-the-mind/racing-thoughts-at-night/; /relaxation/bedtime-meditation-for-sleep/; /relaxation/bedtime-relaxation-techniques/; /relaxation/breathing-exercises-for-sleep/; /relaxation/guided-relaxation-for-sleep/; /relaxation/progressive-muscle-relaxation-for-sleep/; /sleep-environment/how-to-block-out-noise-at-night/; /sleep-products/best-sleep-headphones-uk/; /sleep-products/types-of-sleep-headphones/; /sleep-sounds/brown-noise-for-sleep/; /sleep-sounds/brown-noise-vs-white-noise/; /sleep-sounds/calming-sounds-for-anxiety-at-night/; /sleep-sounds/rain-sounds-for-sleep/; /waking-at-night/cant-get-back-to-sleep/,18,2026-09-25,active
sleep-earbuds,Small in-ear sleep earbuds,"Anker Soundcore Sleep series; Bose Sleepbuds (discontinued, second-hand only)",sleep-headphones,amazon-uk,asin,B0CRGR2TS5,https://www.amazon.co.uk/dp/B0CRGR2TS5/?tag=kleantouch-21,kleantouch-21,/quiet-the-mind/how-to-stop-overthinking-at-night/; /relaxation/bedtime-meditation-for-sleep/; /relaxation/breathing-exercises-for-sleep/; /relaxation/guided-relaxation-for-sleep/; /relaxation/progressive-muscle-relaxation-for-sleep/; /sleep-environment/how-to-sleep-with-a-snoring-partner/; /sleep-products/best-sleep-headphones-uk/; /sleep-products/types-of-sleep-headphones/; /sleep-sounds/calming-sounds-for-anxiety-at-night/,9,2026-09-25,active
memory-foam-side-sleeper-pillow,Memory foam pillow for side sleepers,"Various UK brands (e.g. Simba Hybrid, Emma, Panda)",pillow,amazon-uk,asin,B0D9YWWT26,https://www.amazon.co.uk/dp/B0D9YWWT26/?tag=kleantouch-21,kleantouch-21,/sleep-environment/bedroom-setup-for-better-sleep/; /sleep-products/best-cooling-pillows-uk/; /sleep-products/best-pillows-for-side-sleepers-uk/,3,2026-09-25,active
gel-cooling-pillow,Gel-layer cooling pillow,Various (gel-topped memory foam),cooling-pillow,amazon-uk,asin,B08YZ7FM5Z,https://www.amazon.co.uk/dp/B08YZ7FM5Z/?tag=kleantouch-21,kleantouch-21,/sleep-environment/best-temperature-for-sleep/; /sleep-environment/how-to-sleep-when-its-hot/; /sleep-products/best-cooling-pillows-uk/; /sleep-products/best-pillows-for-side-sleepers-uk/; /waking-at-night/waking-up-hot-at-night/,5,2026-09-25,active
thermal-blackout-curtains,Thermal blackout curtains (eyelet),Various UK retailers' own brands,blackout-curtains,amazon-uk,asin,B00VWMHFZ8,https://www.amazon.co.uk/dp/B00VWMHFZ8/?tag=kleantouch-21,kleantouch-21,/sleep-environment/how-to-make-bedroom-darker/; /sleep-environment/sleep-mask-vs-blackout-curtains/; /sleep-products/best-blackout-curtains-uk/; /waking-at-night/waking-up-too-early/,4,2026-09-25,active
blackout-blind-no-drill,No-drill blackout blind,Various (temporary or suction-fit blinds),blackout-curtains,amazon-uk,asin,B0D5721NNQ,https://www.amazon.co.uk/dp/B0D5721NNQ/?tag=kleantouch-21,kleantouch-21,/sleep-environment/bedroom-setup-for-better-sleep/; /sleep-environment/how-to-make-bedroom-darker/; /sleep-environment/sleep-mask-vs-blackout-curtains/; /sleep-products/best-blackout-curtains-uk/,4,2026-09-25,active
weighted-blanket,Weighted blanket (glass-bead fill),"Various UK brands (e.g. Mela, Gravity, Silentnight)",weighted-blanket,amazon-uk,asin,B0CW99YJHZ,https://www.amazon.co.uk/dp/B0CW99YJHZ/?tag=kleantouch-21,kleantouch-21,/falling-asleep/bedtime-routine-for-adults/; /quiet-the-mind/how-to-calm-your-mind-before-bed/; /relaxation/bedtime-relaxation-techniques/; /sleep-products/weighted-blankets-guide/,4,2026-09-25,active
cotton-percale-bedding,Cotton percale bedding,Various UK bedding brands,bedding,amazon-uk,asin,B08HZFC7SN,https://www.amazon.co.uk/dp/B08HZFC7SN/?tag=kleantouch-21,kleantouch-21,/sleep-environment/bedding-and-sleep/,1,2026-09-25,active
summer-tog-duvet,Lightweight summer duvet (around 4.5 tog),Various UK brands,bedding,amazon-uk,asin,B01ISWOP4I,https://www.amazon.co.uk/dp/B01ISWOP4I/?tag=kleantouch-21,kleantouch-21,/sleep-environment/bedding-and-sleep/; /sleep-environment/best-temperature-for-sleep/; /sleep-environment/how-to-sleep-when-its-hot/; /waking-at-night/waking-up-hot-at-night/,4,2026-09-25,active
quiet-bedroom-fan,Quiet bedroom fan,Various (pedestal or desk fans marketed as quiet or with a night mode),fan,amazon-uk,asin,B0BT7LPSBY,https://www.amazon.co.uk/dp/B0BT7LPSBY/?tag=kleantouch-21,kleantouch-21,/sleep-environment/how-to-sleep-when-its-hot/,1,2026-09-25,active
