page,url,role,tier,parentHub,relatedPages,commercialPages,incomingCount,outgoingCount,incomingFrom
about,/about/,static,,,,,0,13,
affiliate-disclosure,/affiliate-disclosure/,static,,,,,30,1,falling-asleep/bedtime-routine-for-adults; falling-asleep/how-to-fall-asleep-faster; falling-asleep/things-to-do-before-bed; quiet-the-mind/cant-switch-off-at-night; quiet-the-mind/how-to-calm-your-mind-before-bed; quiet-the-mind/how-to-stop-overthinking-at-night; quiet-the-mind/racing-thoughts-at-night; relaxation/breathing-exercises-for-sleep; relaxation/progressive-muscle-relaxation-for-sleep; sleep-environment/best-temperature-for-sleep; sleep-environment/how-to-block-out-noise-at-night; sleep-environment/how-to-make-bedroom-darker; sleep-habits/how-to-fix-your-sleep-schedule; sleep-habits/sleep-hygiene; sleep-products/best-earplugs-for-sleeping-uk; sleep-products/best-sleep-headphones-uk; sleep-products/best-sleep-masks-uk; sleep-products/best-white-noise-machines-uk; sleep-sounds/brown-noise-for-sleep; sleep-sounds/pink-noise-for-sleep; sleep-sounds/rain-sounds-for-sleep; sleep-sounds/white-noise-for-sleep; waking-at-night/cant-get-back-to-sleep; waking-at-night/waking-up-at-3am; waking-at-night/waking-up-in-the-middle-of-the-night; waking-at-night/waking-up-too-early; about; editorial-policy; privacy-policy; terms
contact,/contact/,static,,,,,5,3,about; affiliate-disclosure; corrections; privacy-policy; terms
cookie-policy,/cookie-policy/,static,,,,,1,0,privacy-policy
corrections,/corrections/,static,,,,,4,1,about; contact; editorial-policy; health-disclaimer
editorial-policy,/editorial-policy/,static,,,,,3,3,about; health-disclaimer; terms
falling-asleep,/falling-asleep/,hub,,,falling-asleep/bedtime-routine-for-adults; falling-asleep/difficulty-falling-asleep; falling-asleep/how-to-fall-asleep-faster; falling-asleep/things-to-do-before-bed; sleep-products/best-sleep-masks-uk; sleep-products/best-white-noise-machines-uk,,8,9,falling-asleep/bedtime-routine-for-adults; falling-asleep/how-to-fall-asleep-faster; falling-asleep/things-to-do-before-bed; quiet-the-mind; relaxation; sleep-habits; sleep-questions; about
health-disclaimer,/health-disclaimer/,static,,,,,3,3,about; editorial-policy; terms
privacy-policy,/privacy-policy/,static,,,,,25,3,falling-asleep/bedtime-routine-for-adults; falling-asleep/difficulty-falling-asleep; falling-asleep/how-to-fall-asleep-faster; falling-asleep/things-to-do-before-bed; quiet-the-mind/anxiety-at-night; quiet-the-mind/cant-switch-off-at-night; quiet-the-mind/how-to-calm-your-mind-before-bed; quiet-the-mind/how-to-stop-overthinking-at-night; quiet-the-mind/racing-thoughts-at-night; quiet-the-mind/worry-list-before-bed; relaxation/4-7-8-breathing; relaxation/breathing-exercises-for-sleep; relaxation/progressive-muscle-relaxation-for-sleep; sleep-environment/bedroom-lighting-for-sleep; sleep-habits/caffeine-and-sleep; sleep-habits/how-to-fix-your-sleep-schedule; sleep-habits/screens-before-bed; sleep-habits/sleep-hygiene; waking-at-night/cant-get-back-to-sleep; waking-at-night/waking-up-at-3am; waking-at-night/waking-up-in-the-middle-of-the-night; waking-at-night/waking-up-too-early; waking-at-night/waking-up-with-anxiety; waking-at-night/why-do-i-wake-up-at-the-same-time-every-night; contact
quiet-the-mind,/quiet-the-mind/,hub,,,quiet-the-mind/anxiety-at-night; quiet-the-mind/how-to-calm-your-mind-before-bed; quiet-the-mind/how-to-stop-overthinking-at-night; quiet-the-mind/racing-thoughts-at-night; quiet-the-mind/cant-switch-off-at-night; quiet-the-mind/worry-list-before-bed; sleep-products/best-sleep-headphones-uk; sleep-products/best-white-noise-machines-uk,,16,11,falling-asleep/difficulty-falling-asleep; quiet-the-mind/anxiety-at-night; quiet-the-mind/cant-switch-off-at-night; quiet-the-mind/how-to-calm-your-mind-before-bed; quiet-the-mind/how-to-stop-overthinking-at-night; quiet-the-mind/racing-thoughts-at-night; quiet-the-mind/worry-list-before-bed; sleep-sounds/brown-noise-for-sleep; sleep-sounds/pink-noise-for-sleep; waking-at-night/waking-up-with-anxiety; falling-asleep; waking-at-night; sleep-sounds; relaxation; sleep-questions; about
